,Run,Length,EXP,CEP,CES,AUT,Time
0,1,10,42999,10515,1126,1021,0.5743649005889893
1,1,20,167694,29596,1677,1000,3.3061907291412354
2,1,30,515663,74347,2737,1000,13.688936948776245
3,1,40,1241628,155568,4394,1000,43.89902186393738
4,1,50,2796519,313277,6941,1000,155.98707818984985
