Length,CEP,CES,AUT,CEP_t,CES_t,AUT_t,T_t
10,2471.5,281.5,253.5,0.007226109504699707,0.006435036659240723,0.011291146278381348,0.024952292442321777
20,1775.5,105.0,66.5,0.008850812911987305,0.00447845458984375,0.010974407196044922,0.024303674697875977
30,1435.5,51.5,22.5,0.01018834114074707,0.0031832456588745117,0.014403223991394043,0.027774810791015625
40,1268.0,36.5,10.5,0.011721372604370117,0.00296628475189209,0.03209817409515381,0.046785831451416016
50,1130.5,25.5,4.5,0.012878656387329102,0.002564072608947754,0.08406305313110352,0.09950578212738037
