Length,CEP,CES,"CEP, CES",AUT,time
10,2473,387,296,268,1.6958777904510498
12,2259,325,223,193,1.8584351539611816
14,2044,260,157,121,2.065412998199463
16,1997,257,161,113,2.2573177814483643
18,1812,213,113,71,2.568588972091675
20,1735,178,95,53,2.8173329830169678
