,size,length,time_CEP_CES_AUT,time_CEP_AUT,time_CES_CEP_AUT,time_AUT
0,2000.0,10.0,1.314579963684082,1.473525047302246,1.9091267585754395,2.6581742763519287
1,2000.0,12.0,1.9883208274841309,2.198761224746704,3.0402538776397705,4.412024021148682
2,2000.0,14.0,2.693248987197876,3.353227138519287,4.367983102798462,7.2038068771362305
3,2000.0,16.0,3.846245050430298,4.760611057281494,6.68597674369812,11.867269277572632
4,2000.0,18.0,5.265789031982422,6.766961097717285,9.554007053375244,18.256628274917603
5,2000.0,20.0,7.060161590576172,9.241912126541138,13.46910309791565,27.05491590499878
6,2000.0,10.0,1.3355917930603027,1.5128309726715088,2.0126821994781494,2.7264208793640137
7,2000.0,12.0,2.081407308578491,2.325913906097412,3.05593204498291,4.514173269271851
8,2000.0,14.0,2.665410041809082,3.115230083465576,4.850705862045288,7.215874195098877
9,2000.0,16.0,3.6710636615753174,4.701463222503662,6.294420003890991,12.2896409034729
10,2000.0,18.0,5.4248011112213135,6.522521018981934,8.954286813735962,17.005738258361816
11,2000.0,20.0,6.928823947906494,9.134943008422852,12.182161092758179,28.47910714149475
