Length,CEP,CES,AUT,CEP_t,CES_t,AUT_t,T_t
10,2449.0,286.5,259.0,0.0072896480560302734,0.006768345832824707,0.0115966796875,0.02565467357635498
12,2279.0,214.0,176.5,0.0076830387115478516,0.005879521369934082,0.011115074157714844,0.024677634239196777
14,2022.5,157.0,122.5,0.007623791694641113,0.004889845848083496,0.009893059730529785,0.022406697273254395
16,2000.5,145.5,105.0,0.00839376449584961,0.005115151405334473,0.011516094207763672,0.025025010108947754
18,1863.5,117.5,79.0,0.00864720344543457,0.004607796669006348,0.010632514953613281,0.0238875150680542
20,1776.5,100.0,56.0,0.009115815162658691,0.004362583160400391,0.012498617172241211,0.025977015495300293
